"","playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","W","L","G.1","GS","CG","SHO","SV","IPouts","H.1","ER","HR.1","BB.1","SO.1","BAOpp","ERA","IBB.1","WP","HBP.1","BK","BFP","GF","R.1","SH.1","SF.1","GIDP.1","POS"
"4","hillaa01",116,313,32,72,18,0,6,39,7,2,31,54,0,1,0,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2B"
"5","hillaa01",116,313,32,72,18,0,6,39,7,2,31,54,0,1,0,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3B"
"6","inciaen01",132,524,73,159,27,5,6,45,21,10,26,58,0,4,2,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OF"
"7","pennicl01",33,75,9,12,3,0,2,11,0,0,11,20,0,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2B"
"8","pennicl01",33,75,9,12,3,0,2,11,0,0,11,20,0,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2B"
"9","pennicl01",33,75,9,12,3,0,2,11,0,0,11,20,0,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3B"
"10","pennicl01",33,75,9,12,3,0,2,11,0,0,11,20,0,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3B"
"11","pennicl01",33,75,9,12,3,0,2,11,0,0,11,20,0,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OF"
"12","pennicl01",33,75,9,12,3,0,2,11,0,0,11,20,0,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OF"
"13","pennicl01",33,75,9,12,3,0,2,11,0,0,11,20,0,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SS"
"14","pennicl01",33,75,9,12,3,0,2,11,0,0,11,20,0,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SS"
"15","pennicl01",72,135,15,32,3,0,1,10,3,0,16,29,2,0,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2B"
"16","pennicl01",72,135,15,32,3,0,1,10,3,0,16,29,2,0,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2B"
"17","pennicl01",72,135,15,32,3,0,1,10,3,0,16,29,2,0,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3B"
