"","playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","W","L","G.1","GS","CG","SHO","SV","IPouts","H.1","ER","HR.1","BB.1","SO.1","BAOpp","ERA","IBB.1","WP","HBP.1","BK","BFP","GF","R.1","SH.1","SF.1","GIDP.1","POS"
"1","anderch01",28,48,0,5,0,0,0,3,0,0,1,23,0,0,8,0,2,6,6,27,27,0,0,0,458,158,73,18,40,111,0.272,4.3,2,3,7,0,640,0,75,3,9,15,"P"
"2","hellije01",29,41,3,9,0,0,0,7,0,0,2,14,0,2,3,1,0,9,12,27,27,0,0,0,438,151,75,22,43,121,0.264,4.62,3,5,6,0,636,0,79,8,6,9,"P"
"3","hernada01",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,40,0,0,0,0,101,33,16,6,11,33,0.256,4.28,0,1,3,0,144,7,18,1,0,3,"P"
"23","perezol01",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,36,14,9,2,4,14,0.275,6.75,1,1,0,0,55,4,12,0,0,0,"P"
"24","perezol01",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,36,14,9,2,4,14,0.275,6.75,1,1,0,0,55,4,12,0,0,0,"P"
"25","perezol01",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48,0,0,0,0,87,25,10,2,11,37,0.223,3.1,1,2,4,0,128,11,12,1,0,2,"P"
"26","perezol01",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48,0,0,0,0,87,25,10,2,11,37,0.223,3.1,1,2,4,0,128,11,12,1,0,2,"P"
"27","perezol01",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,36,14,9,2,4,14,0.275,6.75,1,1,0,0,55,4,12,0,0,0,"P"
"28","perezol01",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,36,14,9,2,4,14,0.275,6.75,1,1,0,0,55,4,12,0,0,0,"P"
"29","perezol01",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48,0,0,0,0,87,25,10,2,11,37,0.223,3.1,1,2,4,0,128,11,12,1,0,2,"P"
"30","perezol01",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48,0,0,0,0,87,25,10,2,11,37,0.223,3.1,1,2,4,0,128,11,12,1,0,2,"P"
"31","reedad01",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,1,46,11,2,1,5,17,0.2,1.17,1,0,0,0,60,3,2,0,0,3,"P"
"32","reedad01",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,1,46,11,2,1,5,17,0.2,1.17,1,0,0,0,60,3,2,0,0,3,"P"
"33","reedad01",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,38,0,0,0,3,122,47,19,2,14,34,0.283,4.2,5,2,0,0,181,11,19,1,0,1,"P"
"34","reedad01",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,38,0,0,0,3,122,47,19,2,14,34,0.283,4.2,5,2,0,0,181,11,19,1,0,1,"P"
"35","reedad01",38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,1,46,11,2,1,5,17,0.2,1.17,1,0,0,0,60,3,2,0,0,3,"P"
"36","reedad01",38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,1,46,11,2,1,5,17,0.2,1.17,1,0,0,0,60,3,2,0,0,3,"P"
"37","reedad01",38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,38,0,0,0,3,122,47,19,2,14,34,0.283,4.2,5,2,0,0,181,11,19,1,0,1,"P"
"38","reedad01",38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,38,0,0,0,3,122,47,19,2,14,34,0.283,4.2,5,2,0,0,181,11,19,1,0,1,"P"
"48","cahiltr01",11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,3,0,0,0,79,36,22,2,11,14,0.33,7.52,1,1,1,0,124,6,23,2,1,4,"P"
"49","cahiltr01",11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,3,0,0,0,79,36,22,2,11,14,0.33,7.52,1,1,1,0,124,6,23,2,1,4,"P"
"50","cahiltr01",11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,51,8,4,2,5,22,0.143,2.12,0,1,1,0,63,0,4,1,0,1,"P"
"51","cahiltr01",11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,51,8,4,2,5,22,0.143,2.12,0,1,1,0,63,0,4,1,0,1,"P"
"52","cahiltr01",15,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,15,3,0,0,0,79,36,22,2,11,14,0.33,7.52,1,1,1,0,124,6,23,2,1,4,"P"
"53","cahiltr01",15,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,15,3,0,0,0,79,36,22,2,11,14,0.33,7.52,1,1,1,0,124,6,23,2,1,4,"P"
"54","cahiltr01",15,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,11,0,0,0,0,51,8,4,2,5,22,0.143,2.12,0,1,1,0,63,0,4,1,0,1,"P"
"55","cahiltr01",15,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,11,0,0,0,0,51,8,4,2,5,22,0.143,2.12,0,1,1,0,63,0,4,1,0,1,"P"
"75","millesh01",33,56,1,3,2,0,0,0,0,0,4,29,0,0,11,0,0,6,17,33,33,2,2,0,616,183,69,13,73,171,0.238,3.02,8,5,6,2,860,0,82,8,4,17,"P"
"77","woodal02",12,22,1,4,1,0,0,0,0,0,1,13,0,0,3,0,1,5,6,12,12,0,0,0,211,66,34,7,23,49,0.253,4.35,2,1,2,1,292,0,36,4,2,9,"P"
"78","woodal02",12,22,1,4,1,0,0,0,0,0,1,13,0,0,3,0,1,5,6,12,12,0,0,0,211,66,34,7,23,49,0.253,4.35,2,1,2,1,292,0,36,4,2,9,"P"
"79","woodal02",12,22,1,4,1,0,0,0,0,0,1,13,0,0,3,0,1,7,6,20,20,0,0,0,358,132,47,8,36,90,0.288,3.54,2,5,2,0,509,0,50,11,1,16,"P"
"80","woodal02",12,22,1,4,1,0,0,0,0,0,1,13,0,0,3,0,1,7,6,20,20,0,0,0,358,132,47,8,36,90,0.288,3.54,2,5,2,0,509,0,50,11,1,16,"P"
"81","woodal02",20,33,1,5,1,0,0,4,0,0,3,21,0,0,5,0,1,5,6,12,12,0,0,0,211,66,34,7,23,49,0.253,4.35,2,1,2,1,292,0,36,4,2,9,"P"
"82","woodal02",20,33,1,5,1,0,0,4,0,0,3,21,0,0,5,0,1,5,6,12,12,0,0,0,211,66,34,7,23,49,0.253,4.35,2,1,2,1,292,0,36,4,2,9,"P"
"83","woodal02",20,33,1,5,1,0,0,4,0,0,3,21,0,0,5,0,1,7,6,20,20,0,0,0,358,132,47,8,36,90,0.288,3.54,2,5,2,0,509,0,50,11,1,16,"P"
"84","woodal02",20,33,1,5,1,0,0,4,0,0,3,21,0,0,5,0,1,7,6,20,20,0,0,0,358,132,47,8,36,90,0.288,3.54,2,5,2,0,509,0,50,11,1,16,"P"
"85","chenwe02",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,31,31,0,0,0,574,192,71,28,41,153,0.262,3.34,0,3,5,0,792,0,78,5,8,15,"P"
"97","hunteto02",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,1,47,20,10,4,3,15,0.303,5.74,0,0,0,0,69,5,10,0,0,1,"P"
